CustomerID,Name,Age,Gender,Income ($/year),Spending Score,Signup Date,Notes
1242,Customer_241,36,M,forty thousand,missing,2017-11-16,prefers online
1243,Customer_242,61,F,forty thousand,missing,2019-09-06,
1244,Customer_243,56,F,,60,2020-07-28,prefers online
1245,,44,,,,2021-02-24,
1246,Customer_245,27,Male,forty thousand,,2021-08-31,vip
1247,Customer_246,43,M,forty thousand,,2015-12-15,returns often
1248,Customer_247,36,F,,,2017-08-17,
1249,Customer_248,56,M,45156,43,2020-05-17,returns often
1250,Customer_249,20,F,,40,2016-11-23,loyal
1251,Customer_250,62,Female,forty thousand,,2019-04-09,returns often
1252,Customer_251,30,Female,76413,missing,2016-01-13,loyal
1253,Customer_252,67,Male,forty thousand,,2016-06-10,prefers online
1254,Customer_253,45,,forty thousand,,2022-08-13,loyal
1255,Customer_254,37,Male,,missing,2021-03-03,returns often
1256,Customer_255,45,F,53597,missing,2021-11-07,returns often
1257,Customer_256,25,,44818,,2018-06-13,prefers online
1258,Customer_257,58,Female,,missing,2020-02-19,returns often
1259,Customer_258,56,Female,72348,25,2019-10-30,loyal
1260,Customer_259,18,M,forty thousand,missing,2016-06-04,loyal
1261,Customer_260,20,Female,40651,missing,2019-08-29,
1262,Customer_261,30,M,,33,2017-10-13,
1263,Customer_262,45,M,forty thousand,,2022-08-05,vip
1264,Customer_263,66,Female,85035,,2017-10-10,loyal
1265,Customer_264,42,Female,,,2021-12-23,returns often
1266,Customer_265,50,,37453,missing,2015-04-27,returns often
1267,Customer_266,55,F,forty thousand,,2021-08-30,returns often
1268,Customer_267,23,F,,missing,2018-09-29,vip
1269,Customer_268,61,,,34,2016-08-06,loyal
1270,Customer_269,62,Male,59186,missing,2016-01-30,
1271,Customer_270,49,Male,56536,missing,2017-12-23,returns often
1272,Customer_271,62,M,70443,,2022-07-31,vip
1273,Customer_272,64,Male,forty thousand,18,2015-03-13,prefers online
1274,Customer_273,38,M,76898,missing,2015-10-01,loyal
1275,Customer_274,33,Male,55967,,2020-07-06,prefers online
1276,Customer_275,38,,,,2018-09-05,returns often
1277,Customer_276,28,F,,,2015-12-04,returns often
1278,Customer_277,54,M,forty thousand,missing,2018-10-21,
1279,Customer_278,53,Female,,,2016-08-29,
1280,Customer_279,52,F,59638,,2015-06-15,loyal
1281,Customer_280,36,F,62971,missing,2019-04-17,vip
1282,Customer_281,37,F,forty thousand,,2020-08-20,
1283,Customer_282,35,,,57,2018-08-17,loyal
1284,Customer_283,64,,forty thousand,,2016-12-29,
1285,Customer_284,58,Male,59509,56,2022-10-19,prefers online
1286,,66,Male,,missing,2020-08-05,
1287,Customer_286,31,Female,,30,2015-04-12,
1288,Customer_287,32,,forty thousand,25,2018-11-16,loyal
1289,Customer_288,48,,56175,missing,2017-02-17,returns often
1290,Customer_289,18,Female,forty thousand,,2015-08-02,
1291,,20,F,20235,,2018-01-16,prefers online
1292,,33,M,76373,,2019-04-26,prefers online
1293,Customer_292,40,Male,,missing,2021-09-14,
1294,Customer_293,28,Male,28899,3,2022-03-20,loyal
1295,Customer_294,29,M,forty thousand,45,2019-08-23,loyal
1296,Customer_295,27,,54428,14,2016-08-14,returns often
1297,Customer_296,49,F,forty thousand,30,2018-08-26,prefers online
1298,Customer_297,33,Male,,68,2018-01-14,returns often
1299,Customer_298,25,Female,,,2020-11-09,
1300,Customer_299,55,,forty thousand,missing,2022-06-13,returns often
